1,2.990417,5.739410,2.872314,3.515167
2,2.745361,5.868439,3.065186,3.451508
3,4.302368,4.196625,1.300049,2.279144
4,3.175964,4.646301,1.206055,5.018005
5,4.251709,4.123352,7.210693,2.982819
6,2.846375,4.371796,3.381042,4.957550
7,6.805725,4.374786,9.704895,2.207794
8,7.824097,3.346619,4.538879,1.268921
9,8.173523,6.593048,3.829346,2.476318
10,2.473450,5.252991,8.834229,2.861053
11,4.312744,5.564240,5.655823,0.714355
12,5.685425,5.198090,3.190613,0.193756
13,4.552307,1.737396,2.376709,1.173859
14,3.688965,3.933441,0.103149,0.521667
15,3.514709,3.311584,7.108459,4.470917
16,4.131470,5.412140,1.864014,4.139587
17,8.527222,2.798889,3.089600,4.894745
